facility_name,lat,lon,max_capacity,full_address,city,property_type
Eaglekids Learning Centre - Squamish Ltd.,49.704019,-123.150048,212.0,"38380 Buckley Ave, Squamish, BC",Squamish,Daycare
Eaglekids Learning Centre - Squamish Ltd.,49.704019,-123.150048,290.0,"38380 Buckley Ave, Squamish, BC",Squamish,Daycare
Earl Marriott Secondary,49.0312624,-122.785439,1500.0,"15751 16 Ave, Surrey, BC",Surrey,Elementary Public School
Earles Montessori Learning,49.243142,-123.043923,202.0,"4686 Earles St, Vancouver, BC",Vancouver,Daycare
Early Beginnings Multi-Age Child Care,49.288773,-123.050711,132.0,"2643 mcgill St, Vancouver, BC",Vancouver,Daycare
Early Bird Daycare,48.385752,-123.719259,212.0,"6573 Steeple Chase, Sooke, BC",Sooke,Daycare
Early Days Childcare Centre,49.180619,-122.809645,284.0,"14891 98 Ave, Surrey, BC",Surrey,Daycare
Early Discoveries Inc.,49.340588,-124.444425,247.0,"886 Primrose St, Qualicum Beach, BC",Qualicum Beach,Daycare
Early Exployers Daycare,56.243192,-120.843683,185.0,"9621 98 St, Fort St. John, BC",Fort St. John,Daycare
Early Inquirers Preschool Ltd.,49.343974,-123.203286,227.0,"3175 Thompson Pl, West Vancouver, BC",West Vancouver,Daycare
Early Learning And Care,58.808703,-122.68929,209.0,"5246 45Th St, Fort Nelson, BC",Fort Nelson,Daycare
Early Learning Centre,49.51165,-115.052848,202.0,"1602 2Nd Ave, Fernie, BC",Fernie,Daycare
Early Learning Childcare Centre,49.223953,-122.968219,262.0,"6619 Brantford Ave, Burnaby, BC",Burnaby,Daycare
Early Learning Childcare Centre,49.269871,-122.79008,250.0,"101 3200 Westwood St, Port Coquitlam, BC",Port Coquitlam,Daycare
Early Learning Childcare Centre,49.276944,-122.756568,187.0,"3635 Coast Meridian Rd, Port Coquitlam, BC",Port Coquitlam,Daycare
Early Learning Childcare Centre,49.277395,-122.806534,185.0,"103-2764 Barnet Hwy, Coquitlam, BC",Coquitlam,Daycare
Early Learning Preschool Of The North,53.897018,-122.741261,210.0,"2588 Queensway, Prince George, BC",Prince George,Daycare
Early Learning Society Of Kamloops - Main Campus,50.663337,-120.320354,255.0,"1500 9 Ave, Kamloops, BC",Kamloops,Daycare
Early Steps,49.280271,-122.992918,192.0,"4890 Hastings St, Burnaby, BC",Burnaby,Daycare
Early Steps Academy Queens Park,49.207258,-122.913252,215.0,"601 Queens Ave, New Westminster, BC",New Westminster,Daycare
Early Steps Highgate,49.219153,-122.951032,197.0,"7327 Edmonds St, Burnaby, BC",Burnaby,Daycare
Early World Family Childcare,49.285032,-123.045637,133.0,"2845 Dundas St, Vancouver, BC",Vancouver,Daycare
Early Years Preschool,54.017015,-123.997932,311.0,"448 Connaught St, Vanderhoof, BC",Vanderhoof,Daycare
Earth Child Montessori School Alderbridge Way,49.17601,-123.141055,150.0,"7780 Alderbridge Way, Richmond, BC",Richmond,Daycare
Earth Child Montessori School Alderbridge Way,49.17601,-123.141055,178.0,"7780 Alderbridge Way, Richmond, BC",Richmond,Daycare
Earth Child Montessori School Alderbridge Way,49.17601,-123.141055,334.0,"7780 Alderbridge Way, Richmond, BC",Richmond,Daycare
East Chilliwack Elementary,49.1614174,-121.8636187,245.0,"49190 Chilliwack Central Rd, Chilliwack, BC",Chilliwack,Elementary Public School
East Hill Appletree,50.268544,-119.246816,314.0,"3605 12 St, Vernon, BC",Vernon,Daycare
East Kensington Elementary,49.052741,-122.7137719,100.0,"2795 184 St, Surrey, BC",Surrey,Elementary Public School
East Richmond Community Association Preschool,49.184488,-123.082317,254.0,"12800 Cambie Rd, Richmond, BC",Richmond,Daycare
East Van Child Care Centre,49.285957,-123.048836,192.0,"140 Slocan St N, Vancouver, BC",Vancouver,Daycare
East Village Kids,49.278235,-123.036266,38.0,"3198 Georgia St E, Vancouver, BC",Vancouver,Daycare
East Village Kids,49.278235,-123.036266,99.0,"3198 Georgia St E, Vancouver, BC",Vancouver,Daycare
East Village Kids Group Child Care,49.285163,-123.044155,244.0,"19 N Renfrew St, Vancouver, BC",Vancouver,Daycare
East Village Kids Preschool,49.285163,-123.044155,256.0,"19 N Renfrew St, Vancouver, BC",Vancouver,Daycare
Eastview Elementary,49.3249295,-123.0398737,465.0,"1801 Mountain Hwy, North Vancouver, BC",North Vancouver,Elementary Public School
Eaton Arrowsmith School (Vancouver) Ltd,49.2658743,-123.243407,,"660c Leg-In-Boot Square, Vancouver, BC",Vancouver,Elementary Jr. Secondary Independent School
Ebenezer Canadian Reformed School,54.7870957,-127.1349516,,"PO Box 3700, Smithers, BC",Smithers,Elementary-Secondary Independent School
Ecel (Langley),49.104352,-122.660786,237.0,"20279 56 Ave, Langley, BC",Langley,Daycare
Echelon Day Care,49.264202,-123.116974,216.0,"101 575 8 Ave W, Vancouver, BC",Vancouver,Daycare
Echo Academy,49.881328,-119.46302,192.0,"1605 Sutherland Ave, Kelowna, BC",Kelowna,Daycare
Echo Early Learning Center,49.882781,-119.378934,234.0,"535 Molnar Rd, Kelowna, BC",Kelowna,Daycare
Eco Bear In-Home Multi-Age Child Care,49.25983,-123.183002,112.0,"3545 14Th Ave W, Vancouver, BC",Vancouver,Daycare
Eco Kids Care Inc.,49.115834,-122.381674,296.0,"6256 Mt Lehman Rd, Abbotsford, BC",Abbotsford,Daycare
Eco Kids Care Inc.,49.118153,-122.383644,111.0,"6381 Mt Lehman Rd, Abbotsford, BC",Abbotsford,Daycare
Ecole Banting Middle,49.2656902,-122.876648,550.0,"820 Banting St, Coquitlam, BC",Coquitlam,Middle School Public School
Ecole Beairsto Elementary,50.2664146,-119.2668649,590.0,"3302 27 St, Vernon, BC",Vernon,Elementary Public School
Ecole Bearisto Elementary,50.266415,-119.266865,183.0,"3302 27 St, Vernon, BC",Vernon,Daycare
Ecole Cedardale,49.3335125,-123.1313714,300.0,"595 Burley Dr, West Vancouver, BC",West Vancouver,Elementary Public School
Ecole Central Elem School Of The Arts,56.2451802,-120.85198,365.0,"10215 99 Ave, Fort St John, BC",Fort St John,Elementary Public School
Ecole Citadel Middle,49.237808,-122.7768483,700.0,"1265 Citadel Dr, Port Coquitlam, BC",Port Coquitlam,Middle School Public School
Ecole Cobble Hill Elementary,48.6929195,-123.5899076,390.0,"3642 Learning Way, Cobble Hill, BC",Cobble Hill,Elementary Public School
Ecole Cobble Hill Elementary Out Of School Care,48.69292,-123.589908,144.0,"3642 Learning Way, Cobble Hill, BC",Cobble Hill,Daycare
Ecole Coquitlam River Elementary,49.2883885,-122.7660864,340.0,"4250 Shaughnessy St, Port Coquitlam, BC",Port Coquitlam,Elementary Public School
Ecole Des Deux Mondes Elementary,50.0177208,-125.2523851,220.0,"851 7th Ave, Campbell River, BC",Campbell River,Elementary Public School
Ecole Frank Ross Elementary,55.7717853,-120.2308905,490.0,"1000 92 Ave, Dawson Creek, BC",Dawson Creek,Elementary Public School
Ecole Glenayre Elementary,49.2733439,-122.8880611,475.0,"495 Glencoe Dr, Port Moody, BC",Port Moody,Elementary Public School
Ecole Glenbrook Middle School,49.2207077,-122.9113283,575.0,"701 Park Cres, New Westminster, BC",New Westminster,Middle School Public School
Ecole Heritage Park Middle School,49.1430611,-122.2900476,800.0,"33700 Prentis Ave, Mission, BC",Mission,Middle School Public School
Ecole Irvine Elementary,49.2822864,-122.7611785,390.0,"3862 Wellington St, Port Coquitlam, BC",Port Coquitlam,Elementary Public School
Ecole Jules Quesnel Elementary,49.2590403,-123.1925415,440.0,"3050 Crown St, Vancouver, BC",Vancouver,Elementary Public School
Ecole Kilmer Elementary,49.2436454,-122.7704957,340.0,"1575 Knappen St, Port Coquitlam, BC",Port Coquitlam,Elementary Public School
Ecole Kwayhquitlum Middle,49.2733526,-122.7694027,725.0,"3280 Flint St, Port Coquitlam, BC",Port Coquitlam,Middle School Public School
Ecole Lac Des Bois,53.916652,-122.7976598,635.0,"4131 Rainbow Dr, Prince George, BC",Prince George,Elementary Public School
Ecole Lloyd George Elementary,50.6698111,-120.320244,415.0,"830 Pine St, Kamloops, BC",Kamloops,Elementary Public School
Ecole Macaulay Elementary,48.4265323,-123.4061266,515.0,"1010 Wychbury Ave, Victoria, BC",Victoria,Elementary Public School
Ecole Maillard Middle,49.2441562,-122.8560816,500.0,"1300 Rochester Ave, Coquitlam, BC",Coquitlam,Middle School Public School
Ecole Maple Creek Middle,49.278463,-122.7820572,600.0,"3700 Hastings St, Port Coquitlam, BC",Port Coquitlam,Middle School Public School
Ecole Marigold School,48.4622703,-123.4076217,295.0,"3751 Grange Rd, Victoria, BC",Victoria,Elementary Public School
Ecole Mary Hill Elementary,49.2505557,-122.7762072,315.0,"1890 Humber Cres, Port Coquitlam, BC",Port Coquitlam,Elementary Public School
Ecole Millstream Elementary Seamless Day,48.466097,-123.495873,184.0,"626 Hoylake Ave, Victoria, BC",Victoria,Daycare
Ecole Montgomery Middle,49.2446769,-122.8413208,625.0,"1900 Edgewood Ave, Coquitlam, BC",Coquitlam,Elementary Public School
Ecole Moody Middle,49.2749656,-122.8387789,725.0,"3115 St. Johns St, Port Moody, BC",Port Moody,Elementary Public School
Ecole Mount Prevost Elementary,48.7950102,-123.7342393,460.0,"6177 Somenos Rd, North Cowichan, BC",North Cowichan,Elementary Public School
Ecole Mountainview,54.5233219,-128.6223017,270.0,"3505 Bailey St, Terrace, BC",Terrace,Elementary Public School
Ecole Mountainview Seamless Day Kindergarten,54.523322,-128.622302,221.0,"3505 Bailey St, Terrace, BC",Terrace,Daycare
Ecole Nestor Elementary,49.2902138,-122.7798314,515.0,"1266 Nestor St, Coquitlam, BC",Coquitlam,Elementary Public School
Ecole Panorama Heights Elementary,49.2998075,-122.7988979,480.0,"1455 Johnson St, Coquitlam, BC",Coquitlam,Elementary Public School
Ecole Panorama Ridge Secondary,49.1187872,-122.8549907,1400.0,"13220 64 Ave, Surrey, BC",Surrey,Elementary Public School
Ecole Pauline Johnson Elementary,49.3346346,-123.1694958,395.0,"1150 22nd St, West Vancouver, BC",West Vancouver,Elementary Public School
Ecole Petits Pieds,48.339241,-123.632839,97.0,"476 Becher Bay Rd, Sooke, BC",Sooke,Daycare
Ecole Phoenix Middle,50.0212565,-125.246145,725.0,"400 7th Ave, Campbell River, BC",Campbell River,Elementary Public School
Ecole Pitt River Middle,49.2547077,-122.7734624,450.0,"2070 Tyner St, Port Coquitlam, BC",Port Coquitlam,Middle School Public School
Ecole Poirier Elementary,48.3907233,-123.7189659,430.0,"PO Box 940, Sooke, BC",Sooke,Elementary Public School
Ecole Porter Street Elementary,49.2616119,-122.864626,415.0,"728 Porter St, Coquitlam, BC",Coquitlam,Elementary Public School
Ecole Puntledge Park Elementary,49.6844975,-125.014227,560.0,"401 Willemar Ave, Courtenay, BC",Courtenay,Elementary Public School
Ecole Qayqayt Elementary,49.2082515,-122.904856,650.0,"85 Merivale St, New Westminster, BC",New Westminster,Elementary Public School
Ecole Quadra Elementary,48.4459806,-123.360367,515.0,"3031 Quadra St, Victoria, BC",Victoria,Elementary Public School
Ecole Red Bluff Lhtako Elementary,52.9641483,-122.465946,245.0,"1533 Maple Dr, Quesnel, BC",Quesnel,Elementary Public School
Ecole Riverdale Elementary,49.20004,-122.8114131,580.0,"14835 108a Ave, Surrey, BC",Surrey,Elementary Public School
Ecole Riverside Secondary,49.2560572,-122.789099,1275.0,"2215 Reeve St, Port Coquitlam, BC",Port Coquitlam,Secondary Public School
Ecole Robb Road,49.6797383,-124.9320338,560.0,"1909 Robb Ave, Comox, BC",Comox,Elementary Public School
Ecole Rochester Elementary,49.2459068,-122.8512382,380.0,"411 Schoolhouse St, Coquitlam, BC",Coquitlam,Elementary Public School
Ecole Salish Secondary,49.1351569,-122.7120475,1500.0,"7278 184 St, Surrey, BC",Surrey,Secondary Public School
Ecole Seaforth Elementary,49.2518468,-122.936123,540.0,"7881 Government Rd, Burnaby, BC",Burnaby,Elementary Public School
Ecole Secondaire Ballenas Secondary,49.3219602,-124.3405983,950.0,"135 Pym Street, Parksville, BC",Parksville,Secondary Public School
Ecole Secondaire Mark R Isfeld Secondary,49.7032375,-124.9584299,850.0,"1551 Lerwick Rd, Courtenay, BC",Courtenay,Secondary Public School
Ecole Squamish Elementary,49.7039959,-123.1500039,420.0,"PO Box 1040, Squamish, BC",Squamish,Elementary Public School
Ecole Westwood Elementary,49.2775149,-122.7808645,415.0,"3610 Hastings St, Port Coquitlam, BC",Port Coquitlam,Elementary Public School
Ecole Willows Elementary,48.4358928,-123.3106859,605.0,"2290 Musgrave St, Victoria, BC",Victoria,Elementary Public School
Eddi's House,48.455362,-123.497491,202.0,"2616 Peatt Rd, Victoria, BC",Victoria,Daycare
Edge Meadows Preschool,53.920396,-122.786204,182.0,"3555 5Th Ave, Prince George, BC",Prince George,Daycare
Edgehill Elementary,49.8520632,-124.5070945,170.0,"7312 Abbotsford St, Powell River, BC",Powell River,Elementary Public School
Edgehill Elementary Seamless Day Program,49.852063,-124.507095,228.0,"7312 Abbotsford St, Powell River, BC",Powell River,Daycare
Edgehill ymca Child Care,49.852073,-124.507122,209.0,"7312 Abbotsford St., Powell River, BC",Powell River,Daycare
Edgehill ymca Child Care,49.852073,-124.507122,273.0,"7312 Abbotsford St., Powell River, BC",Powell River,Daycare
Edgemont Village Daycare,49.344425,-123.103868,172.0,"3902 Ruby Ave, North Vancouver, BC",North Vancouver,Daycare
Edgewater Elementary,50.6954222,-116.1374984,145.0,"PO Box 69, Edgewater, BC",Edgewater,Elementary Public School
Edgewood Elementary,49.0436059,-122.7613389,655.0,"16666 23 Ave, Surrey, BC",Surrey,Elementary Public School
Edgewood Elementary,49.7810506,-118.1475356,120.0,"PO Box 129, Edgewood, BC",Edgewood,Elementary Public School
Edgewood Elementary,53.9457448,-122.8022485,220.0,"4440 Craig Dr, Prince George, BC",Prince George,Elementary Public School
Edgewood Elementary School,49.043606,-122.761339,194.0,"16666 23Rd Ave, Surrey, BC",Surrey,Daycare
Edgewood Home After School,49.043048,-122.759559,291.0,"16715 22A Ave, Surrey, BC",Surrey,Daycare
Edgewood Park Child Care Centre,49.042741,-122.759252,250.0,"16736 22A Ave, Surrey, BC",Surrey,Daycare
Edith Cavell Elementary,49.2528816,-123.1171418,290.0,"500 20th Ave W, Vancouver, BC",Vancouver,Elementary Public School
Edith McDermott Elementary,49.2238274,-122.6792698,415.0,"12178 Bonson Rd, Pitt Meadows, BC",Pitt Meadows,Elementary Public School
Edmonds Community Elementary,49.2221284,-122.940592,470.0,"7651 18th Ave, Burnaby, BC",Burnaby,Elementary Public School
Edmonton Ave Childcare Center,49.48992,-119.581726,150.0,"470 Edmonton Ave, Penticton, BC",Penticton,Daycare
Educare Children's  Centre,49.232414,-122.989306,243.0,"5715 Royal Oak Ave, Burnaby, BC",Burnaby,Daycare
Educastle Childcare Learning Centre,49.278632,-122.792627,257.0,"270 3020 Lincoln Ave, Coquitlam, BC",Coquitlam,Daycare
Education Services (Alternate),49.1702677,-122.8323789,,"14033 92 Ave, Surrey, BC",Surrey,Elementary Public School
Edward Milne Community School,48.3882052,-123.6963876,650.0,"PO Box 1010, Sooke, BC",Sooke,Secondary Public School
Edwin S Richards Elementary,49.1554742,-122.2984506,340.0,"33419 Cherry Ave, Mission, BC",Mission,Elementary Public School
Eeyore's Daycare,53.887224,-122.782122,217.0,"106-3308 Underhill Rd, Prince George, BC",Prince George,Daycare
Eighth Avenue Learning Centre,49.2331654,-124.7992011,,"2941 8th Ave, Port Alberni, BC",Port Alberni,Secondary Public School
Eileen Madson Primary School,50.4963742,-116.0413057,170.0,"2001 15th Ave, Invermere, BC",Invermere,Elementary Public School
Eke Me-Xi School,50.7348229,-127.4973287,,"PO Box 90, Port Hardy, BC",Port Hardy,Elementary Public School
Elation Education Child Care Centre,49.23704,-122.86994,250.0,"100 & 200 938 Brunette Ave, Coquitlam, BC",Coquitlam,Daycare
Elderberries Child Care Centre,48.434748,-123.332944,219.0,"1289 Emerson Way, North Vancouver, BC",North Vancouver,Daycare
Elderberries Child Care Centre,49.318786,-122.998382,130.0,"1289 Emerson Way, North Vancouver, BC",North Vancouver,Daycare
Elderberries Child Care Centre 2,49.319272,-122.998365,212.0,"1321 Emerson Way, North Vancouver, BC",North Vancouver,Daycare
Elements Early Learning Centre,50.262946,-119.260012,198.0,"2102 29Th Cres, Vernon, BC",Vernon,Daycare
Elev8 D.E.S.K.,49.4890854,-117.2931844,,"811 Stanley St, Nelson, BC",Nelson,Elementary-Secondary Public School
Elev8 Homelinks,49.089684,-116.5130895,,"PO Box 250, Creston, BC",Creston,Elementary-Secondary Public School
Elfi First School,49.155063,-122.926005,223.0,"10727 Delsom Cres, Delta, BC",Delta,Daycare
Elgin Park Secondary,49.0455539,-122.8485943,1200.0,"13484 24 Ave, Surrey, BC",Surrey,Elementary Public School
Elite Montessori Academy,49.246392,-123.185905,243.0,"101-3641 29Th Ave W, Vancouver, BC",Vancouver,Daycare
Elite Montessori Academy Blenheim Group Care,49.243995,-123.178251,206.0,"4720 Blenheim St, Vancouver, BC",Vancouver,Daycare
Eliza Archie Daycare,51.640854,-121.297739,177.0,"101 Canim Lake Reserve, Canim Lake, BC",Canim Lake,Daycare
Elizabeth's Early Learning Centre,49.715034,-124.910558,172.0,"1440A Ryan Rd E, Comox, BC",Comox,Daycare
Elkford Childcare Centre,50.024759,-114.923445,194.0,"816A Michel Rd, Elkford, BC",Elkford,Daycare
Elkford Elementary Secondary,50.0076731,-114.9316448,425.0,"PO Box 910, Elkford, BC",Elkford,Elementary Public School
Elkford Play School,50.024166,-114.922805,273.0,"750 Fording Dr, Elkford, BC",Elkford,Daycare
Ellendale Elementary,49.2033336,-122.819201,195.0,"14525 110a Ave, Surrey, BC",Surrey,Elementary Public School
Ellendale Elementary School Basc,49.203334,-122.819201,239.0,"14525 110A Ave, Surrey, BC",Surrey,Daycare
Ellison Elementary,49.9385295,-119.3540458,270.0,"3735 Parkdale Rd, Kelowna, BC",Kelowna,Elementary Public School
Ellison Elementary,50.2505991,-119.3144702,440.0,"PO Box 2400, Vernon, BC",Vernon,Elementary Public School
Ellison Elementary School,50.250599,-119.31447,176.0,"2400 Fulton Rd, Vernon, BC",Vernon,Daycare
Elm Alternate,49.9963334,-125.2434744,,"740 Robron Rd, Campbell River, BC",Campbell River,Elementary Public School
Elm Childcare Center,49.159314,-123.938581,269.0,"572 Milton St, Nanaimo, BC",Nanaimo,Daycare
Elowyn,50.026243,-119.40607,319.0,"9966 Pollard Rd, Lake Country, BC",Lake Country,Daycare
Elowyn - Kettle Valley,49.794345,-119.512033,267.0,"103-5309 Main St, Kelowna, BC",Kelowna,Daycare
Elphinstone Secondary,49.4079205,-123.5165388,675.0,"PO Box 770, Gibsons, BC",Gibsons,Secondary Public School
Elsie Roy Elementary,49.2721415,-123.1226225,410.0,"150 Drake St, Vancouver, BC",Vancouver,Elementary Public School
Ema - Kids Club (Coquitlam),49.248932,-122.863916,191.0,"1046F Austin Ave, Coquitlam, BC",Coquitlam,Daycare
Ema - Kids Club (Mission),49.128713,-122.303146,164.0,"6995 Bridge St, Mission, BC",Mission,Daycare
Emerald Hills Montessori,49.297737,-122.811602,202.0,"1501 Bramble Lane, Coquitlam, BC",Coquitlam,Daycare
Emerald Hills Montessori School Age Care,49.298466,-122.813199,119.0,"2875 Panorama Dr, Coquitlam, BC",Coquitlam,Daycare
Emily Carr Elementary,49.2498229,-123.1260664,290.0,"4070 Oak St, Vancouver, BC",Vancouver,Elementary Public School
Eminent Stars Daycare Ltd,49.21456,-123.015454,153.0,"3986 Rumble St, Burnaby, BC",Burnaby,Daycare
Emmanuel Baptist Church Child Care,48.457596,-123.314096,155.0,"2121 Cedar Hill Cross Rd, Victoria, BC",Victoria,Daycare
Emmarisse Daycare,49.285374,-122.95645,236.0,"7057 Sierra Dr, Burnaby, BC",Burnaby,Daycare
Enchanted Forest,49.477507,-117.284241,55.0,"2215 Kootenay St, Nelson, BC",Nelson,Daycare
Enchanted Forest Childcare Center Inc.,49.061203,-122.241139,208.0,"3266 Rathtrevor Crt, Abbotsford, BC",Abbotsford,Daycare
Enchanted Moments,49.233034,-124.009948,89.0,"5581 Norton Rd, Nanaimo, BC",Nanaimo,Daycare
Encompass 10-12,49.2501939,-122.8484198,,"1600 King Albert Ave, Coquitlam, BC",Coquitlam,Secondary Public School
Encompass Bright Beginnings Childcare Centre,49.105448,-122.628922,152.0,"A-21405 56 Ave, Langley, BC",Langley,Daycare
Encompass Language And Learning Centre,49.216624,-124.027305,277.0,"243-4750 Rutherford Rd, Nanaimo, BC",Nanaimo,Daycare
Enderby Preschool Daycare And Kids Club,50.557555,-119.142269,278.0,"102 Meadow Cres, Enderby, BC",Enderby,Daycare
Energetic Learning Campus,56.240527,-120.842219,,"9708 93 Ave, Fort St John, BC",Fort St John,Junior Secondary Public School
English Bluff Elementary,49.0107837,-123.0880238,340.0,"402 English Bluff Rd, Delta, BC",Delta,Elementary Public School
Enjoy Learning Childcare,49.195376,-122.563323,112.0,"10454 Tamarack Cres, Maple Ridge, BC",Maple Ridge,Daycare
Entre-lacs,49.4910914,-119.5695104,420.0,"1213 Debeck Rd, Penticton, BC",Penticton,Elementary Jr. Secondary Public School
Enver Creek Secondary,49.1558268,-122.8202437,1400.0,"14505 84 Ave, Surrey, BC",Surrey,Elementary Public School
Eric Hamber Secondary,49.2402215,-123.1257547,1700.0,"960 W. 33rd Avenue, Vancouver, BC",Vancouver,Secondary Public School
Eric J Dunn Elementary,49.2334534,-124.785529,450.0,"3500 Argyle St, Port Alberni, BC",Port Alberni,Elementary Public School
Eric Langton Elementary,49.2236583,-122.5958578,465.0,"12138 Edge St, Maple Ridge, BC",Maple Ridge,Elementary Public School
Erickson Elementary,49.0908489,-116.467063,220.0,"PO Box 180, Erickson, BC",Erickson,Elementary Public School
Erma Stephenson Elementary,49.2009477,-122.7789258,415.0,"10929 160 St, Surrey, BC",Surrey,Elementary Public School
Errington Cooperative Preschool,49.289104,-124.418178,228.0,"1341 Station Rd, Errington, BC",Errington,Daycare
Errington Elementary,49.2870266,-124.3448703,365.0,"PO Box 80, Errington, BC",Errington,Elementary Public School
Errington Elementary After School Care,49.287027,-124.34487,192.0,"1390 Fairdowne Rd, Errington, BC",Errington,Daycare
Errington Learning Centre,49.1432601,-123.1424885,,"9831 Herbert Rd, Richmond, BC",Richmond,Elementary Public School
Esquimalt High School,48.4381077,-123.3982578,950.0,"847 Colville Rd, Victoria, BC",Victoria,Secondary Public School
Esquimalt Recreation Centre Osc,48.428845,-123.412557,184.0,"527 Fraser St, Victoria, BC",Victoria,Daycare
Essential Learning Center,49.85275,-119.638676,206.0,"2628 Wild Horse Dr, West Kelowna, BC",West Kelowna,Daycare
Eugene Reimer Middle School,49.0649463,-122.3618537,600.0,"3433 Firhill Dr, Abbotsford, BC",Abbotsford,Middle School Public School
Euphoria Child Care,49.620249,-125.03139,148.0,"3292 First St, Cumberland, BC",Cumberland,Daycare
Evans Childcare Center,49.136985,-121.977311,182.0,"7434 Evans Rd, Chilliwack, BC",Chilliwack,Daycare
Evans Elementary,49.1390256,-121.9775705,245.0,"7600 Evans Rd, Chilliwack, BC",Chilliwack,Elementary Public School
Eve's Licensed Flexible 24/7 Family Day Care,49.398596,-123.548267,192.0,"434 Solaz Pl, Gibsons, BC",Gibsons,Daycare
Evelyn Dickson Elementary,54.0093518,-124.0067353,220.0,"PO Box 1970, Vanderhoof, BC",Vanderhoof,Elementary Public School
Everdream Homestead Childcare,49.300359,-124.36142,259.0,"1417 Price Rd, Parksville, BC",Parksville,Daycare
Evergreen Child Care Centre,49.023358,-122.796811,173.0,"1185 Centre St, White Rock, BC",White Rock,Daycare
Evergreen Family Day Care,49.333733,-123.087008,184.0,"703-555 28Th St W, North Vancouver, BC",North Vancouver,Daycare
Evergreen Independent School,48.6873553,-123.6009507,,"3515 Watson Ave, Cobble Hill, BC",Cobble Hill,Elementary Independent School
Evergreen Independent School Junior Kindergarten,48.687355,-123.600951,140.0,"3515 Watson Ave, Cobble Hill, BC",Cobble Hill,Daycare
Evergreen Montessori Preschool,49.252127,-123.164683,196.0,"3860 Trafalgar St, Vancouver, BC",Vancouver,Daycare
Evershine Childcare Centre,49.128949,-122.869443,290.0,"6939 127A St, Surrey, BC",Surrey,Daycare
Everyday Sunshine Childcare Ltd.,49.115708,-122.735653,141.0,"6226 175B St, Surrey, BC",Surrey,Daycare
Everyday Sunshine Family Childcare,49.270468,-123.103174,223.0,"105-95 1St Ave E, Vancouver, BC",Vancouver,Daycare
Ewen Childcare Centre,49.190898,-122.936405,208.0,"527 Ewen Ave, New Westminster, BC",New Westminster,Daycare
Excel Childcare Centre,49.152697,-122.828381,194.0,"14218 82A Ave, Surrey, BC",Surrey,Daycare
Excel Martial Arts Chilliwack,49.133158,-121.959551,221.0,"7174 Vedder Rd, Chilliwack, BC",Chilliwack,Daycare
Excellence Children's Academy,49.060441,-122.677835,203.0,"3209 197 St, Langely, BC",Langely,Daycare
Exploration Station Child Care,49.298411,-117.658357,153.0,"809 Merrycreek Rd, Castlegar, BC",Castlegar,Daycare
Explore & Learn Family Daycare,49.244324,-123.090635,168.0,"4517 Fraser St, Vancouver, BC",Vancouver,Daycare
Explore Daycare,49.113393,-121.971649,132.0,"6124 Arlington Dr, Chilliwack, BC",Chilliwack,Daycare
Explore To The Core Preschool,49.174952,-123.971111,85.0,"116 June Ave, Nanaimo, BC",Nanaimo,Daycare
Explorers Corner Daycare,49.224476,-122.596957,214.0,"22552 122 Ave, Maple Ridge, BC",Maple Ridge,Daycare
Exploring Minds Childcare Center,49.155247,-122.319252,269.0,"32676 Stokes Ave, Mission, BC",Mission,Daycare
Exploring The North Childcare,54.01489,-122.80538,273.0,"4651 Zral Rd, Prince George, BC",Prince George,Daycare
Exploring The Puddle,52.132737,-122.143961,183.0,"279 3 Ave N, Williams Lake, BC",Williams Lake,Daycare
Extra Steps Preschool,49.256963,-123.120651,179.0,"726 16Th Ave W, Vancouver, BC",Vancouver,Daycare
Eysk Childcare Center,49.116592,-122.857892,228.0,"6252 131A St, Surrey, BC",Surrey,Daycare
F W Howay Elementary,49.2260819,-122.912124,190.0,"91 Courtney Cres, New Westminster, BC",New Westminster,Elementary Public School
Fabe's Childcare Two,48.429404,-123.52186,146.0,"940 Walfred Rd, Langford, BC",Langford,Daycare
Fabes Childcare,48.429455,-123.521855,125.0,"938 Walfred Rd, Victoria, BC",Victoria,Daycare
Fable Tree Child Care,49.183153,-123.111525,188.0,"4151 Bryson Crt, Richmond, BC",Richmond,Daycare
Fabulous Kidz Childcare,49.236441,-122.998559,206.0,"4677 Northview Crt, Burnaby, BC",Burnaby,Daycare
Faerie Grove,50.296221,-119.201473,103.0,"5936 Ranchview Rd, Vernon, BC",Vernon,Daycare
Fairfield Children’S House,48.416466,-123.345664,115.0,"436 Durban St, Victoria, BC",Victoria,Daycare
Fairfield Island Childcare,49.190615,-121.938265,153.0,"46491 Gilbert Ave, Chilliwack, BC",Chilliwack,Daycare
Fairfield Island Daycare,49.182296,-121.944798,153.0,"46265 Hope River Rd, Chilliwack, BC",Chilliwack,Daycare
Fairfield Island Little Bear Academy,49.192058,-121.936849,249.0,"46530 Elgin Dr, Chilliwack, BC",Chilliwack,Daycare
Fairview Before And After School Care,49.166314,-123.956209,163.0,"205 Howard Ave, Nanaimo, BC",Nanaimo,Daycare
Fairview Elementary,49.166314,-123.956209,415.0,"205 Howard Ave, Nanaimo, BC",Nanaimo,Elementary Public School
Fairview Elementary,49.2237163,-122.6515022,465.0,"12209 206 St, Maple Ridge, BC",Maple Ridge,Elementary Public School
Fairy & Kids Child Care,49.280503,-122.749495,155.0,"1230 Halifax Ave, Port Coquitlam, BC",Port Coquitlam,Daycare
